Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000DA4E8H,Trivium,8721161953340,1,1997c5c5-0621-4b67-886d-b0262be99a24,2025-12-26 02:52:25,Single,S-001,open
A000D9W6DK,Trivium,8721161953340,1,e37be94c-b2e5-4d1c-97e8-2ff98ffba651,2025-12-25 16:24:56,Single,S-001,open
A000D9U9NW,Trivium,8721325778031,1,f84c44fd-9788-410e-b9fa-c122b8d5394d,2025-12-25 15:24:41,Single,S-001,open
A000D9P60U,Trivium,8721161953586,1,e36e451b-52c0-403d-bd3f-d90cb7c4ace7,2025-12-25 12:22:03,Single,S-001,open
A000D9MW7A,Trivium,8721161953562,1,872d7119-127d-4789-9749-0818a44df82d,2025-12-25 11:02:00,Single,S-001,open
A000D9MJ0N,Trivium,8721161953937,1,09911b11-e7e2-4e96-a0b7-13f92fb457c9,2025-12-25 10:40:12,Single,S-001,open
A000D9KTJ5,Trivium,8721161953357,1,758ac683-6045-4a47-8890-5369dac0dc3b,2025-12-25 05:33:07,Single,S-001,open
A000D9KTHJ,Trivium,8721161953357,1,8bb5da55-e5cd-4e7d-9ede-654cd4e6605a,2025-12-25 05:31:03,Single,S-001,open
A000D9JX3U,Trivium,8721325778031,1,6412e7ec-c9dc-44e5-915b-dca25e2e6f2b,2025-12-24 23:37:51,Single,S-001,open
A000D9JK81,Trivium,8721161953524,1,8d911432-8cbe-4c26-ae1c-419f50d46048,2025-12-24 23:02:04,Single,S-001,open
A000D9H00T,Trivium,8721161953111,1,11d85628-82da-4c6b-b590-af97aff0c06b,2025-12-24 20:32:13,Single,S-001,open
A000D9FTHF,Trivium,8721325778031,1,6f9a5b85-73a2-4461-9fac-48c681772fe8,2025-12-24 20:21:36,Single,S-001,open
A000D9EDM3,Trivium,8721161953104,1,f3fb6b9a-58c2-4373-91a6-6e86352fcae5,2025-12-24 18:10:17,Single,S-001,open
A000D9CP1N,Trivium,8721161953111,1,834dadf3-6248-46a9-8c63-9dd829fc85d9,2025-12-24 16:09:34,Single,S-001,open
A000D9A8CD,Trivium,8721161953586,1,c3df8a99-8197-4dd0-b548-4b6240a34e7c,2025-12-24 14:31:31,Single,S-001,open
A000D99HR6,Trivium,8721161953357,1,c5101625-0076-418a-a0ff-876ee4aa6059,2025-12-24 13:45:04,Single,S-001,open
